model,term,estimate,se,lower,upper,p_value,n
Unadjusted,smoker,-275.2518712134565,21.231383245505317,-316.8646177166141,-233.63912471029897,1.9478102580966827e-38,4642
Adjusted,smoker,-233.02800354290326,22.504980259852672,-277.13695432499935,-188.91905276080718,3.9923284494286093e-25,4642
Intensity,C(msmoke)[T.1],-157.98015525198417,37.17138039885603,-230.83472208938008,-85.12558841458825,2.137245991150931e-05,4642
Intensity,C(msmoke)[T.2],-224.95862988522802,33.461877046717525,-290.54270375190185,-159.37455601855416,1.782241331950146e-11,4642
Intensity,C(msmoke)[T.3],-288.66765377357933,34.20323741158433,-355.7047672549576,-221.63054029220106,3.179470584490095e-17,4642
